ticker_a,ticker_b,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,cointegration_p_value
BETA,GAMMA,60,1.5,0.5,1.7255767686132994,0.49342482940122534,0.30202219509687855,1.6337369816246494,-0.22735282493733755,30,30,60.0,0.8333333333333334,0.03564706691973599,5.749035663338795e-05
BETA,GAMMA,90,1.5,0.5,1.4809577488652543,0.43829426010962624,0.3028689740219258,1.4471414958400344,-0.1435165492368501,26,26,52.0,0.8076923076923077,0.037455687599524785,5.749035663338795e-05
BETA,GAMMA,90,2.0,0.5,1.0105255100984358,0.322281236303688,0.24281947190299252,1.3272462615042702,-0.1402526385935372,16,16,32.0,0.8125,0.04651418010232923,5.749035663338795e-05
BETA,GAMMA,60,2.0,0.25,1.1031753305206293,0.3463258720200302,0.2850825449948896,1.2148266461779988,-0.20894048277797672,20,20,40.0,0.8,0.039664590126808605,5.749035663338795e-05
BETA,GAMMA,60,1.5,0.25,1.2257129605589157,0.37717034358280555,0.3295756048065883,1.144412201880501,-0.20894048277797672,29,29,58.0,0.7931034482758621,0.02946892799650243,5.749035663338795e-05
BETA,GAMMA,90,2.0,0.25,1.0785159671372497,0.33998934801905323,0.29953869729131044,1.135043155003119,-0.14025263859353698,22,22,44.0,0.7727272727272727,0.0355532194022548,5.749035663338795e-05
BETA,GAMMA,90,1.5,0.25,1.014220085875658,0.3232526395835975,0.32208520639317195,1.003624609784159,-0.15543490762638945,27,27,54.0,0.7037037037037037,0.028174582782695842,5.749035663338795e-05
BETA,GAMMA,40,1.5,0.25,0.9195473692085336,0.2980144688029396,0.33375998497078874,0.8929005339840914,-0.2089404827779765,31,31,62.0,0.7419354838709677,0.023165367649950634,5.749035663338795e-05
BETA,GAMMA,60,2.5,0.5,0.3614044642332934,0.1313444954920655,0.15524905898385158,0.8460244226390284,-0.13769074301473183,7,7,14.0,0.8571428571428571,0.047279908022085405,5.749035663338795e-05
BETA,GAMMA,60,2.5,0.25,0.3631766995339314,0.13193336565665503,0.1606106838634611,0.8214482528996306,-0.1376907430147314,7,7,14.0,0.8571428571428571,0.047468133549792846,5.749035663338795e-05
BETA,GAMMA,40,2.0,0.25,0.7306376962320857,0.2453243031462644,0.3004669296793009,0.8164768861854708,-0.2089404827779766,22,22,44.0,0.7272727272727273,0.0277232221941857,5.749035663338795e-05
BETA,GAMMA,40,2.5,0.5,0.34179105438582,0.12479650145577392,0.15448272110177122,0.8078346922278745,-0.13769074301473172,8,8,16.0,0.875,0.039337506299034125,5.749035663338795e-05
